name,description,muscle_ids
"Алмазные отжимания","Поставь ладони ромбом. Отжимайся, держа локти у тела.","7,28"
"Альпинист (Mountain Climber)","Упор лежа. Быстро подтягивай колени к груди в темпе бега.","11,20"
"Армейский жим сидя со штангой","Сядь на скамью со спинкой. Жми штангу с груди строго вертикально.","16,28"
"Армейский жим стоя","Выжимай штангу над головой с груди. Не прогибайся в пояснице.","5,16,28"
"Берпи","Упади в упор лежа, отожмись, подтяни ноги и выпрыгни вверх.","6"
"Боковая планка","Упор на одном локте и боковой части стопы. Держи тело прямым.","11,12"
"Болгарские сплит-приседания","Задняя нога на скамье. Опускайся до касания коленом пола.","10,30"
"Вакуум","Выдохни весь воздух, втяни живот под ребра и задержись.","20"
"Велосипед","Ляг на спину. Поочередно подтягивай колени к противоположному локтю.","12,20"
"Выбросы (Трастеры)","Сделай присед с гантелями, на вставании вытолкни их вверх.","6,10"
"Выпады «Реверанс»","Делай шаг назад и в сторону, скрещивая ноги. Нагрузка на внешнюю ягодицу.","30"
"Выпады со штангой","Штанга на плечах. Делай широкий шаг вперед, опускай колено к полу.","10,30"
"Гиперэкстензия","Закрепи ноги. Опускайся до угла 90°, плавно поднимайся до прямой линии.","18,30"
"Горизонтальная тяга в блоке","Сядь, упрись ногами. Тяни рукоять к поясу, максимально сводя лопатки.","26,29"
"Жим Арнольда","Начни жим ладонями к себе, разворачивай их наружу в процессе подъема.","17,28"
"Жим в хаммере под углом","Сядь плотно, прижми лопатки. Выжимай рукояти вперед и вверх.","4,28"
"Жим гантелей вниз головой","Скамья под отрицательным углом. Жми гантели вверх, акцент на низ груди.","13"
"Жим гантелей лежа с поворотом","Начинай жим нейтральным хватом, в верхней точке разворачивай ладони от себя.","7"
"Жим гантелей на наклонной скамье","Скамья 30–45°. Жми гантели вверх до сведения, локти чуть внутрь.","4,16,28"
"Жим гантелей на наклонной скамье одной рукой","Скамья 30°. Жми одну гантель вверх, другой рукой держись за скамью.","4"
"Жим гантелей на полу","Ляг на пол. Опускай локти до касания пола и мощно выжимай гантели вверх.","24,28"
"Жим гантелей сидя","Сядь ровно. Выжимай гантели вверх до касания.","16,28"
"Жим на тренажере Смита","Ляг под гриф Смита. Жми по фиксированной траектории, грудь раскрыта.","24,28"
"Жим ногами","Упрись в платформу. Опускай к груди и мощно выжимай.","10,30"
"Жим узким хватом","Возьми штангу на ширине плеч. Опускай на низ груди.","7,28"
"Жим штанги вниз головой","Зафиксируй ноги, опусти гриф на низ груди, выжми вертикально вверх.","13,28"
"Жим штанги из-за головы","Штанга за головой. Жми строго вертикально, не наклоняй шею.","16,28"
"Жим штанги лёжа","Опусти штангу на середину груди, мощно выжми вверх без отрыва таза.","16,24,28"
"Жим штанги лёжа широким хватом","Хват шире плеч, опускай гриф на середину груди, раскрывай грудь в нижней точке.","16,24"
"Жим штанги узким хватом под углом","Скамья 45°. Хват узкий. Опускай на верх груди, работай трицепсом и верхом.","4,28"
"Зашагивания на скамью","Встань перед скамьей. Зашагивай ногой на скамью, выпрямляй ногу.","10,30"
"Кикбэк с гантелью","Наклонись, локоть выше спины. Разгибай руку назад.","28"
"Концентрированный подъем","Упри локоть во внутреннюю часть бедра. Сгибай гантель к плечу.","1"
"Махи в кроссовере по одной","Тяни рукоять нижнего блока в сторону от себя.","25"
"Махи гантелями в наклоне","Наклонись почти до параллели. Разводи руки в стороны.","3,8"
"Махи гирей","Качни гирю между ног и толчком таза вытолкни ее до уровня взгляда.","6,30"
"Мертвая тяга с гантелями","Гантели вдоль ног, таз назад. Опускай до середины голени, спина прямая.","2,30"
"Молотковые сгибания","Держи гантели как молотки. Сгибай руки вверх.","1,19"
"Наклоны (Good Morning)","Положи штангу на плечи. Наклоняйся вперед с прямой спиной до параллели.","2,18"
"Обратные разведения в бабочке","Сядь лицом к тренажеру. Разводи рычаги за счет задних дельт.","8"
"Обратные разведения в кроссовере лежа","Ляг на наклонную скамью лицом вниз. Разводи руки с гантелями в стороны.","8"
"Отжимания на брусьях","Наклони корпус вперед, локти в стороны. Опускайся глубоко, жми вверх.","13,28"
"Отжимания на брусьях узким хватом","Локти прижаты к корпусу, корпус прямой. Акцент на трицепс.","28"
"Отжимания на двух стульях","Поставь руки на стулья, опускайся ниже сиденья для глубокой растяжки.","13"
"Отжимания на кулаках","Встань на кулаки. Опускайся глубоко, локти прижимай к корпусу.","24"
"Отжимания ноги на возвышении","Поставь ноги на скамью, отжимайся с акцентом на верх груди.","16,24"
"Отжимания от пола","Держи тело ровно. Опускайся до касания пола грудью, локти под 45°.","7,28"
"Отжимания от скамьи","Упрись ладонями в скамью сзади. Опускай таз вниз, разгибай руки.","28"
"Отжимания с хлопком","Из нижней точки взрывным движением отожмись так, чтобы успеть хлопнуть.","7"
"Отжимания с широкой постановкой","Поставь ладони шире плеч. Опускайся максимально низко для растяжки.","7"
"Планка","Встань на локти и носки. Держи тело идеально прямой линией.","11"
"Подтягивания обратным хватом","Хват снизу на ширине плеч. Тянись подбородком к перекладине, локти к телу.","1,29"
"Подтягивания широким хватом","Тянись грудью к перекладине, сводя лопатки. Не раскачивайся.","1,8,29"
"Подъем блина перед собой","Возьми блин двумя руками. Поднимай до уровня глаз на прямых руках.","16"
